,Champion,Result,Date,Game,player,Tournament,duration_minutes,K,D,A,match_result,match_type
332,Nautilus,Victory,2024-03-04,Team WE vs BLG,ON,LPL Spring 2024,36.983333333333334,0,6,16,Victory,BO3
333,Maokai,Victory,2024-03-01,LGD Gaming vs BLG,ON,LPL Spring 2024,45.65,2,4,15,Victory,BO3
334,Rakan,Victory,2024-03-01,LGD Gaming vs BLG,ON,LPL Spring 2024,30.033333333333335,3,1,14,Victory,BO3
335,Ezreal,Victory,2024-02-27,BLG vs TT,ON,LPL Spring 2024,36.583333333333336,2,3,16,Victory,BO3
336,Renata Glasc,Victory,2024-02-27,BLG vs TT,ON,LPL Spring 2024,35.36666666666667,1,1,9,Victory,BO3
337,Nautilus,Victory,2024-02-24,JD Gaming vs BLG,ON,LPL Spring 2024,37.96666666666667,1,4,12,Victory,BO3
338,Lux,Defeat,2024-02-24,JD Gaming vs BLG,ON,LPL Spring 2024,46.166666666666664,1,4,7,Victory,BO3
339,Lux,Victory,2024-02-24,JD Gaming vs BLG,ON,LPL Spring 2024,41.916666666666664,1,0,14,Victory,BO3
340,Milio,Defeat,2024-02-20,IG vs BLG,ON,LPL Spring 2024,28.433333333333334,0,4,3,Defeat,BO3
341,Renata Glasc,Defeat,2024-02-20,IG vs BLG,ON,LPL Spring 2024,23.816666666666666,3,4,4,Defeat,BO3
342,Rakan,Victory,2024-02-06,LNG Esports vs BLG,ON,LPL Spring 2024,46.266666666666666,0,2,13,Victory,BO3
343,Nami,Victory,2024-02-06,LNG Esports vs BLG,ON,LPL Spring 2024,36.03333333333333,1,1,12,Victory,BO3
344,Tahm Kench,Victory,2024-02-03,BLG vs EDG,ON,LPL Spring 2024,24.7,1,0,8,Victory,BO3
345,Nautilus,Victory,2024-02-03,BLG vs EDG,ON,LPL Spring 2024,22.166666666666668,4,2,6,Victory,BO3
346,Milio,Victory,2024-01-29,BLG vs AL,ON,LPL Spring 2024,26.666666666666668,1,0,11,Victory,BO3
347,Milio,Victory,2024-01-29,BLG vs AL,ON,LPL Spring 2024,37.65,0,1,18,Victory,BO3
348,Tahm Kench,Victory,2024-01-26,BLG vs RNG,ON,LPL Spring 2024,37.4,0,0,8,Victory,BO3
349,Milio,Victory,2024-01-26,BLG vs RNG,ON,LPL Spring 2024,31.916666666666668,3,1,15,Victory,BO3
350,Renata Glasc,Victory,2024-01-22,BLG vs Top Esports,ON,LPL Spring 2024,27.483333333333334,1,1,14,Victory,BO3
351,Rakan,Defeat,2024-01-22,BLG vs Top Esports,ON,LPL Spring 2024,30.566666666666666,1,3,0,Victory,BO3
352,Ashe,Victory,2024-01-22,BLG vs Top Esports,ON,LPL Spring 2024,27.05,3,1,10,Victory,BO3
353,Leona,Defeat,2024-10-19,Top Esports vs T1,meiko,Worlds Main Event 2024,37.46666666666667,0,3,7,Defeat,BO5
354,Rell,Defeat,2024-10-19,Top Esports vs T1,meiko,Worlds Main Event 2024,33.75,0,4,0,Defeat,BO5
355,Leona,Defeat,2024-10-19,Top Esports vs T1,meiko,Worlds Main Event 2024,31.95,0,3,3,Defeat,BO5
356,Rell,Victory,2024-10-10,Dplus KIA vs Top Esports,meiko,Worlds Main Event 2024,36.416666666666664,1,3,19,Victory,BO3
357,Braum,Victory,2024-10-10,Dplus KIA vs Top Esports,meiko,Worlds Main Event 2024,32.8,0,1,14,Victory,BO3
358,Rell,Victory,2024-10-06,Top Esports vs Fnatic,meiko,Worlds Main Event 2024,24.15,0,1,10,Victory,BO1
359,Rell,Defeat,2024-10-04,GEN vs Top Esports,meiko,Worlds Main Event 2024,33.68333333333333,1,7,9,Defeat,BO1
360,Rell,Victory,2024-10-03,Top Esports vs T1,meiko,Worlds Main Event 2024,30.566666666666666,1,3,13,Victory,BO1
361,Leona,Defeat,2024-08-24,Top Esports vs WBG,meiko,LPL Summer Playoffs 2024,34.583333333333336,0,3,3,Defeat,BO5
362,Rell,Victory,2024-08-24,Top Esports vs WBG,meiko,LPL Summer Playoffs 2024,31.15,1,1,9,Defeat,BO5
363,Alistar,Defeat,2024-08-24,Top Esports vs WBG,meiko,LPL Summer Playoffs 2024,32.28333333333333,0,5,6,Defeat,BO5
364,Rell,Victory,2024-08-24,Top Esports vs WBG,meiko,LPL Summer Playoffs 2024,36.016666666666666,1,5,16,Defeat,BO5
365,Leona,Defeat,2024-08-24,Top Esports vs WBG,meiko,LPL Summer Playoffs 2024,29.233333333333334,1,3,4,Defeat,BO5
366,Alistar,Defeat,2024-08-21,BLG vs Top Esports,meiko,LPL Summer Playoffs 2024,30.55,1,10,17,Defeat,BO5
367,Alistar,Defeat,2024-08-21,BLG vs Top Esports,meiko,LPL Summer Playoffs 2024,24.6,0,6,3,Defeat,BO5
368,Seraphine,Defeat,2024-08-21,BLG vs Top Esports,meiko,LPL Summer Playoffs 2024,30.766666666666666,0,3,5,Defeat,BO5
369,Leona,Victory,2024-08-21,BLG vs Top Esports,meiko,LPL Summer Playoffs 2024,28.416666666666668,4,3,16,Defeat,BO5
370,Alistar,Victory,2024-08-18,LNG Esports vs Top Esports,meiko,LPL Summer Playoffs 2024,28.066666666666666,0,0,7,Victory,BO5
371,Leona,Victory,2024-08-18,LNG Esports vs Top Esports,meiko,LPL Summer Playoffs 2024,36.11666666666667,0,1,4,Victory,BO5
372,Alistar,Victory,2024-08-18,LNG Esports vs Top Esports,meiko,LPL Summer Playoffs 2024,30.316666666666666,1,1,10,Victory,BO5
373,Alistar,Victory,2024-08-16,Top Esports vs AL,meiko,LPL Summer Playoffs 2024,32.53333333333333,1,2,5,Victory,BO5
374,Poppy,Victory,2024-08-16,Top Esports vs AL,meiko,LPL Summer Playoffs 2024,29.583333333333332,3,2,8,Victory,BO5
375,Poppy,Defeat,2024-08-16,Top Esports vs AL,meiko,LPL Summer Playoffs 2024,29.9,1,7,5,Victory,BO5
376,Poppy,Victory,2024-08-16,Top Esports vs AL,meiko,LPL Summer Playoffs 2024,32.18333333333333,2,2,14,Victory,BO5
377,Alistar,Victory,2024-07-31,Top Esports vs JD Gaming,meiko,LPL Summer Season 2024,26.2,0,1,9,Victory,BO3
378,Alistar,Victory,2024-07-31,Top Esports vs JD Gaming,meiko,LPL Summer Season 2024,41.13333333333333,2,3,14,Victory,BO3
379,Rell,Victory,2024-07-27,Top Esports vs FPX,meiko,LPL Summer Season 2024,24.033333333333335,2,1,14,Victory,BO3
380,Braum,Victory,2024-07-27,Top Esports vs FPX,meiko,LPL Summer Season 2024,33.71666666666667,3,5,13,Victory,BO3
381,Rakan,Victory,2024-07-26,Top Esports vs AL,meiko,LPL Summer Season 2024,31.2,0,3,13,Victory,BO3
382,Alistar,Victory,2024-07-26,Top Esports vs AL,meiko,LPL Summer Season 2024,24.65,0,1,8,Victory,BO3
383,Leona,Victory,2024-07-23,Top Esports vs NIP,meiko,LPL Summer Season 2024,26.75,1,4,11,Victory,BO3
384,Leona,Victory,2024-07-23,Top Esports vs NIP,meiko,LPL Summer Season 2024,37.15,1,4,8,Victory,BO3
385,Leona,Victory,2024-07-20,Top Esports vs LGD Gaming,meiko,LPL Summer Season 2024,42.65,0,3,10,Victory,BO3
386,Leona,Victory,2024-07-20,Top Esports vs LGD Gaming,meiko,LPL Summer Season 2024,36.1,1,4,14,Victory,BO3
387,Karma,Victory,2024-07-17,WBG vs Top Esports,meiko,LPL Summer Season 2024,23.283333333333335,2,2,14,Victory,BO3
388,Leona,Victory,2024-07-17,WBG vs Top Esports,meiko,LPL Summer Season 2024,35.85,3,5,14,Victory,BO3
389,Leona,Defeat,2024-07-14,LNG Esports vs Top Esports,meiko,LPL Summer Season 2024,36.11666666666667,0,6,4,Defeat,BO3
390,Braum,Defeat,2024-07-14,LNG Esports vs Top Esports,meiko,LPL Summer Season 2024,37.1,0,3,5,Defeat,BO3
391,Ornn,Defeat,2024-07-12,Top Esports vs BLG,meiko,LPL Summer Season 2024,29.0,1,5,3,Defeat,BO3
392,Ornn,Defeat,2024-07-12,Top Esports vs BLG,meiko,LPL Summer Season 2024,28.15,4,4,2,Defeat,BO3
393,Ornn,Victory,2024-07-12,Top Esports vs BLG,meiko,LPL Summer Season 2024,42.93333333333333,1,3,14,Defeat,BO3
394,Leona,Defeat,2024-07-07,T1 vs Top Esports,meiko,Esports World Cup 2024,29.283333333333335,0,4,7,Defeat,BO5
395,Nautilus,Defeat,2024-07-07,T1 vs Top Esports,meiko,Esports World Cup 2024,38.96666666666667,0,5,5,Defeat,BO5
396,Braum,Defeat,2024-07-07,T1 vs Top Esports,meiko,Esports World Cup 2024,26.1,0,5,1,Defeat,BO5
397,Braum,Victory,2024-07-07,T1 vs Top Esports,meiko,Esports World Cup 2024,22.933333333333334,1,0,5,Defeat,BO5
398,Leona,Victory,2024-07-06,Top Esports vs G2 Esports,meiko,Esports World Cup 2024,26.616666666666667,2,2,15,Victory,BO3
